Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées
7014;Saint-François-Xavier;OUI;42;8;33;22;11;OUI;OUI;2020-12-07T13:26:39+01:00;48.8515448477,2.31461495161;Paris;
10162;Alexandre Parodi - Quai de Valmy;OUI;24;22;2;2;0;OUI;OUI;2020-12-07T13:23:13+01:00;48.8793594194,2.36659616232;Paris;
17008;Porte Pouchet-Bessières;OUI;23;12;10;8;2;OUI;OUI;2020-12-07T13:26:41+01:00;48.8978765,2.3230632;Paris;
13118;Regnault - Patay;OUI;63;16;46;38;8;OUI;OUI;2020-12-07T13:26:06+01:00;48.8243578222,2.37706515938;Paris;
15112;Vigée-Lebrun - Anselme Payen;OUI;24;19;5;0;5;OUI;OUI;2020-12-07T13:18:03+01:00;48.8386839416,2.3110422492;Paris;
10027;Dunkerque - Alsace;OUI;18;16;2;1;1;OUI;OUI;2020-12-07T13:26:46+01:00;48.879355,2.358379;Paris;
5020;Institut du Monde Arabe - Saint-Germain;OUI;40;0;40;39;1;OUI;OUI;2020-12-07T13:24:56+01:00;48.8490632995,2.35580865294;Paris;
18024;Clignancourt - Ordener;OUI;35;34;0;0;0;OUI;OUI;2020-12-07T13:22:36+01:00;48.8914577262,2.34863647806;Paris;
31706;Château - République;OUI;26;14;12;3;9;OUI;OUI;2020-12-07T13:26:44+01:00;48.8629238006,2.4155035615;Bagnolet;
7018;Ségur - d'Estrées;OUI;19;1;17;12;5;OUI;OUI;2020-12-07T13:22:18+01:00;48.851419979,2.30970449746;Paris;
10107;Gare du Nord - Hôpital Lariboisière;OUI;49;40;8;5;3;OUI;OUI;2020-12-07T13:25:46+01:00;48.881949,2.352339;Paris;
5022;Boulangers - Cardinal Lemoine;OUI;20;10;10;3;7;OUI;OUI;2020-12-07T13:26:38+01:00;48.8462904,2.3521495;Paris;
19015;Thionville - Ourcq;OUI;24;23;1;0;1;OUI;OUI;2020-12-07T13:22:30+01:00;48.8891761374,2.38336533308;Paris;
